,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
4814,このごろ,コノゴロ,名詞,upper elementary,native Jap.,1.8671064459013,0.670667820582328,0.849293331342441,1.14234980215963,1.31912890232994
4926,壊す,コワス,動詞1類,upper elementary,native Jap.,1.95176434602412,0.672780457061634,1.01240628477955,1.19857838958578,1.26054555518201
4969,こんな,コンナ,連体詞,upper elementary,native Jap.,1.75960753615491,0.863961303466543,0.87851007748531,1.08209944449672,1.22852170984221
5170,桜,サクラ,名詞,upper elementary,native Jap.,1.95994706405441,0.866231602606197,1.03324613717818,1.11281456522775,1.08203093947683
5280,砂糖,サトウ,名詞,upper elementary,Chinese,1.85657322468986,0.540769174876303,0.956790197648184,1.41459356446911,1.26412144559751
5322,再来年,サライネン,名詞,upper elementary,Chinese,1.92978918136396,0.721657703266545,0.876856853713383,0.919863939312481,1.01592414774554
5328,サラダ,サラダ,名詞,upper elementary,foreign,1.9090637150286,0.598661084648114,1.15005165139948,1.12261983324979,1.30590051011087
5402,サンドイッチ,サンドイッチ,名詞,upper elementary,foreign,1.83117131701176,0.528804794832724,0.857949569018113,1.17926499461066,1.05450436420346
5455,じいさん,ジイサン,名詞,upper elementary,native Jap.,1.9369948682636,0.700250739748583,1.11096334867733,0.993681084553021,1.20276508583369
5593,自己紹介,ジコショウカイ,名詞,upper elementary,Chinese,1.96523648272062,0.754595921209081,1.0468032495959,1.00998072579626,1.16591637936674
5820,失礼,シツレイ,名詞,upper elementary,Chinese,1.83492384036655,0.849672622768545,1.0417374435063,1.22841957881084,1.28250074859409
5865,死ぬ,シヌ,動詞1類,upper elementary,native Jap.,1.98410026203231,0.899026653767392,1.20880981242084,1.1934908281784,1.32139167300684
5940,閉まる,シマル,動詞1類,upper elementary,native Jap.,1.87046464580879,1.03359743102201,0.938576035556019,1.20328537339652,1.21073248210122
6113,週間,シュウカン,接尾辞,upper elementary,Chinese,1.89001318437246,0.899961332410876,1.11797224175279,1.20304367333724,1.26681823532017
6655,食堂,ショクドウ,名詞,upper elementary,Chinese,1.88356395573651,0.470052762035083,0.863564684180689,1.03719314715668,1.04143974395786
6732,ショッピング,ショッピング,名詞,upper elementary,foreign,1.97868889279353,0.459829579923436,1.11085292102776,0.909199480640991,0.997564328274251
6874,人口,ジンコウ,名詞,upper elementary,Chinese,1.79015144906898,0.60433823460754,1.10818916568844,0.99490639680828,1.02742691198698
6895,神社,ジンジャ,名詞,upper elementary,Chinese,1.82986274710324,0.763715770617479,0.953514251473088,1.18720417330973,1.2189280361195
7038,すいか,スイカ,名詞,upper elementary,Chinese,1.79974586129283,0.617831314056076,0.831585047502231,1.20685074853964,1.08118544365776
7098,吸う,スウ,動詞1類,upper elementary,native Jap.,1.99563657863409,0.856353544503577,1.12429643176239,1.08098324106441,1.11021170582449
7354,生活,セイカツ,名詞,upper elementary,Chinese,1.95768070918277,0.687815572613755,1.14690826902354,1.00077991287031,1.21803698529932
7522,席,セキ,名詞,upper elementary,Chinese,1.75624649138974,0.902846334897986,1.23894493943916,1.16512712838786,1.22614617488505
7523,せき,セキ,名詞,upper elementary,native Jap.,1.91813728946067,0.467738081988892,0.868597040976571,1.28741802573167,1.34364726905126
7615,背中,セナカ,名詞,upper elementary,native Jap.,1.93336513036585,0.945405265066573,1.19024917035205,1.33056461886447,1.30439474830676
7754,センチ,センチ,名詞,upper elementary,foreign,1.86064988429655,0.883802755195654,1.03265240881787,0.949678230915956,0.985923920906812
8055,そば,ソバ,名詞,upper elementary,native Jap.,1.92144975089946,0.999808118824743,1.2163972952207,1.38337346935251,1.37967420306191
8253,大切,タイセツ,ナ形容詞,upper elementary,Chinese,1.79070161488397,0.930693750965278,1.15055728382337,1.29482018357836,1.18353587766158
8590,駄目,ダメ,名詞,upper elementary,hybird,1.97587033021111,0.881164555732819,1.12304164068755,1.35459932649508,1.42958526610797
8780,チケット,チケット,名詞,upper elementary,foreign,1.91390806089753,1.04098403686228,1.18127239045131,1.23818056345572,1.29678719344109
8790,地図,チズ,名詞,upper elementary,Chinese,1.89792580144759,0.899315078144674,1.27648338489349,1.12513870337059,1.18075738378587
8875,中華料理,チュウカリョウリ,名詞,upper elementary,Chinese,1.80355344112804,0.493558753911996,1.12905054944993,1.34361087469797,1.30791549071597
9149,月,ツキ,名詞,upper elementary,Chinese,1.86153597239189,0.916901311091383,1.16672653965399,1.14725319935485,1.29730211928282
9564,点,テン,名詞,upper elementary,Chinese,1.88593181693088,1.02895665804843,1.26531405368416,1.16734363100832,1.23840486840954
9912,時,トキ,名詞,upper elementary,native Jap.,1.90595843556189,1.05419003858624,1.30765869225097,1.20632059167807,1.30058474852065
9992,どこか,ドコカ,名詞,upper elementary,native Jap.,1.86301170176964,1.08296151995417,1.29579362112552,1.42447646167108,1.43349076871104
9997,所,トコロ,名詞,upper elementary,native Jap.,1.79834173349025,1.0666511438203,1.16904740958558,1.1885131821716,1.16151988793137
10022,図書館,トショカン,名詞,upper elementary,Chinese,1.94970646940869,0.538519788928095,1.02211020147039,1.00969295166907,1.12417233660676
10039,どちら,ドチラ,名詞,upper elementary,native Jap.,1.83851543213659,0.738939947377952,1.02413844514037,1.13788245900268,1.17677226225359
10383,夏休み,ナツヤスミ,名詞,upper elementary,native Jap.,1.80239074861968,0.623333686163253,1.18650173321405,0.957838331357171,1.1523429306506
10508,にぎやか,ニギヤカ,ナ形容詞,upper elementary,native Jap.,1.84415796061715,0.659027040964893,1.09676929447279,1.11542241443974,1.07848010179341
10540,西,ニシ,名詞,upper elementary,native Jap.,1.79880207325547,0.659146120747132,0.858710154654721,0.947705331117493,0.988264772919032
10586,日本酒,ニホンシュ,名詞,upper elementary,Chinese,1.92953205333663,0.689581809625347,1.09267976285737,1.25310770388435,1.3426682121597
10648,人,ニン,接尾辞,upper elementary,Chinese,1.78712814447573,0.961984176518517,1.03099655375861,1.07050791938805,1.0600682951979
10738,熱,ネツ,名詞,upper elementary,Chinese,1.87120008844719,0.85175224895693,1.12142838579905,1.15196011883862,1.14347409368163
10901,登る,ノボル,動詞1類,upper elementary,native Jap.,1.96949145914639,0.609943924491138,0.998076979024788,1.01689424291175,0.942514360689861
10983,バイク,バイク,名詞,upper elementary,foreign,1.95173721470672,0.641322700723403,0.946743702925338,0.896501643284094,1.06141462450179
10994,歯医者,ハイシャ,名詞,upper elementary,hybird,1.80033249350127,0.886348409796344,1.15740339655829,1.12845529797682,1.20382985555447
11023,バイト,バイト,接尾辞,upper elementary,foreign,1.86604027611161,0.691627797663172,1.09919657339,1.03145063427925,1.1563180736412
11141,橋,ハシ,名詞,upper elementary,native Jap.,1.92782606306889,0.569201914964277,1.19534781758929,1.07685209650715,1.29786066452378
11547,火,ヒ,名詞,upper elementary,Chinese,1.8811713185405,0.93667523340287,1.26113191693951,1.24357641837301,1.27073338339914
11828,暇,ヒマ,名詞,upper elementary,native Jap.,1.80804773385515,0.870571325172585,1.11250187719132,1.35302120990325,1.33507046031024
11962,ピンク,ピンク,名詞,upper elementary,foreign,1.91418077450633,0.584295821416287,1.09463375790894,1.22383218359232,1.29708316448672
12288,不便,フベン,名詞,upper elementary,Chinese,1.78892042363751,0.792589175697122,1.07247628690225,1.17242630573461,1.14172554079199
12318,冬休み,フユヤスミ,名詞,upper elementary,native Jap.,1.84044756871399,0.741380644789628,1.01893020513403,1.04696220330988,1.37644260879299
12568,ベッド,ベッド,名詞,upper elementary,foreign,1.94274178910418,0.690540355990012,0.984747842458682,1.02263632224995,1.22795468549499
12595,ベルト,ベルト,名詞,upper elementary,foreign,1.87832679989757,0.572321833623984,0.946777494271053,1.00904583140151,1.05877950678704
12603,ペン,ペン,名詞,upper elementary,foreign,1.80065795569192,1.01477322735688,1.09762880731569,1.39839092498615,1.37487134323812
12723,帽子,ボウシ,名詞,upper elementary,Chinese,1.79725530466692,0.665357505509692,0.843065624837017,1.00890781597413,1.0504310538485
12827,ポケット,ポケット,名詞,upper elementary,foreign,1.97732790010018,0.778160815027639,0.875182478807025,1.1613400116359,1.33063891943083
13040,本屋,ホンヤ,名詞,upper elementary,hybird,1.91430743933545,0.731364126777403,1.25829090093824,1.28187849525035,1.23917889572754
13214,窓,マド,名詞,upper elementary,native Jap.,1.77678069407719,0.828750221544867,0.992507625316318,1.17132914372994,1.20021726076222
13353,みかん,ミカン,名詞,upper elementary,Chinese,1.77310514871019,0.544559765685069,0.925591443924387,1.19993002464904,1.34890645227946
13886,もし,モシ,副詞,upper elementary,native Jap.,1.83503249915171,1.07284141603084,1.32533113094829,1.27722940115059,1.40275010990256
14123,山,ヤマ,名詞,upper elementary,native Jap.,1.93694008393187,0.903722974855795,1.27636610454317,1.21776077881566,1.28216256282446
14297,指,ユビ,名詞,upper elementary,native Jap.,1.85217699430254,1.0266013057638,1.10292608803824,1.31557161823636,1.29008567876643
14500,呼ぶ,ヨブ,動詞1類,upper elementary,native Jap.,1.75524981894154,0.897522893992989,1.08656909386933,1.01920828075063,0.998798460879417
14970,若い,ワカイ,イ形容詞,upper elementary,native Jap.,1.83068097943779,0.743463248820071,1.23005748311967,1.27720724881865,1.33609118969666
71,明かり,アカリ,名詞,lower intermediate,native Jap.,1.93342193220584,0.547153909635446,1.12786442166816,1.09408667749615,1.10900086570144
78,赤ん坊,アカンボウ,名詞,lower intermediate,hybird,1.93624096462838,0.508519747586699,1.01772983085481,0.828235973595602,1.20099928262919
136,空ける,アケル,動詞2類,lower intermediate,native Jap.,1.74711560806207,0.571763806659674,0.80242877324471,0.859207379979283,0.851915565019477
139,揚げる,アゲル,動詞2類,lower intermediate,native Jap.,1.90691949585963,0.557498795434566,1.07374960320786,1.11455644190312,1.11579941762542
153,朝晩,アサバン,名詞,lower intermediate,hybird,1.78234090446863,0.608383765276069,1.0568125737566,0.923432295179188,1.10780950389333
154,朝日,アサヒ,名詞,lower intermediate,native Jap.,1.85653062585492,0.456057005522773,0.970686223712597,0.735746010878962,0.898402612571384
161,脚,アシ,名詞,lower intermediate,native Jap.,1.91141495962753,0.678013563807661,1.01924184496919,1.02943507119317,1.05838638757288
180,預かる,アズカル,動詞1類,lower intermediate,native Jap.,1.97376088963536,0.432867597235528,0.733420226501948,0.850249069511111,0.836853908523731
232,アップ,アップ,名詞,lower intermediate,foreign,1.94157204647081,0.799001110180888,1.05082956913746,0.964996418450239,1.07169910318485
369,アルファベット,アルファベット,名詞,lower intermediate,foreign,1.91425092347438,0.349413116012724,0.720866724113265,0.761127356809382,0.838949098268833
422,アンテナ,アンテナ,名詞,lower intermediate,foreign,1.97468194394669,0.311696421344815,0.691301371884061,0.878341592835664,0.835781514695745
459,委員,イイン,名詞,lower intermediate,Chinese,1.91054594697084,0.451370064646408,0.842085024271797,0.645641107450141,0.802874313391648
520,生き物,イキモノ,名詞,lower intermediate,native Jap.,1.81768728120658,0.731285080597644,1.08969110182326,1.06248837749237,1.19850850209239
553,医師,イシ,名詞,lower intermediate,Chinese,1.94899440718161,0.781681379252798,1.02959241002202,0.78123003313254,0.893211968249991
705,一生,イッショウ,名詞,lower intermediate,Chinese,1.89470258016065,0.610908585928898,0.941944882428552,0.977003596139375,1.05477696437208
781,祈る,イノル,動詞1類,lower intermediate,native Jap.,1.8203666185679,0.488372104984805,0.854963523665341,0.726444082806212,0.8087848853302
811,芋,イモ,名詞,lower intermediate,native Jap.,1.92636226664693,0.554863712456764,0.816745134894643,0.915253886823019,1.09347992697946
828,以来,イライ,接尾辞,lower intermediate,Chinese,1.75810729719407,0.645048856866075,0.857964099404993,0.887963980120828,0.871208746799199
887,印鑑,インカン,名詞,lower intermediate,Chinese,1.97202049091266,0.913692076519192,1.03588673915521,1.02343818159657,1.03890430621905
917,インフルエンザ,インフルエンザ,名詞,lower intermediate,foreign,1.90159120325153,0.639715017670122,0.967802472226973,0.855607044607325,0.968288361906576
1009,内,ウチ,名詞,lower intermediate,native Jap.,1.78109283516496,0.699379611206783,0.890089439942993,0.884803496207319,0.883790240849075
1034,打つ,ウツ,動詞1類,lower intermediate,native Jap.,1.76762621675604,0.776718582297561,1.0222926527344,0.988357112395947,1.05059349778435
1049,移る,ウツル,動詞1類,lower intermediate,native Jap.,1.809662028117,0.863972796574871,1.08591159339102,0.975261949770372,1.01534933193707
1085,梅干し,ウメボシ,名詞,lower intermediate,native Jap.,1.98026699465015,0.430345708280143,0.915759323705905,1.11894366867765,1.06662265563746
1108,売り,ウリ,接尾辞,lower intermediate,native Jap.,1.92524087261341,0.684604147614284,1.00624288855952,1.03489227198761,1.1111731426919
1146,うん,ウン,感動詞,lower intermediate,native Jap.,1.76658148373275,0.4711890724211,0.776118960620438,1.18312140070745,1.22220635988322
1162,運転免許証,ウンテンメンキョショウ,名詞,lower intermediate,Chinese,1.95364867113966,0.859288390060496,1.13455114403195,1.05109870697656,1.14775800009714
1450,大雪,オオユキ,名詞,lower intermediate,native Jap.,1.87075304943913,0.7262078026379,0.962416055412134,0.912879063352622,0.97045062302083
1488,送り,オクリ,名詞,lower intermediate,native Jap.,1.79958361502373,0.639932289269115,0.948563575217264,1.03941194589541,1.01464711911107
1494,贈り物,オクリモノ,名詞,lower intermediate,native Jap.,1.93381913370542,0.473559126698014,0.838997787892764,0.849751973618047,0.984219727304135
1510,押さえる,オサエル,動詞2類,lower intermediate,native Jap.,1.91248287188949,0.892510489402925,1.17641447532813,1.21398225121996,1.22648311400224
1544,おしゃべり,オシャベリ,名詞,lower intermediate,native Jap.,1.90380100957344,0.655946168148107,0.911069674812499,1.17921755119714,1.1509823135753
1545,おしゃれ,オシャレ,名詞,lower intermediate,native Jap.,1.88028154906857,0.810285911560357,1.17736474316044,1.2288109590512,1.28329572874068
1643,オフィス,オフィス,名詞,lower intermediate,foreign,1.96150317950069,0.421445553270538,0.847147966337138,0.692922739616873,0.880613498102456
1694,表,オモテ,名詞,lower intermediate,native Jap.,1.88693649273193,0.90852513303468,1.17713034804783,1.17432042748399,1.22668382177391
